RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
08619,2016-11,277177.8431524856,273908.1648483802,,202943.92633758928,268605.50169220194,313018.45769724104,,,157229.24461932445,157589.23266288123,105581.7710704445,112206.45348521406,130619.17447264981,190085.124638484,204918.7279986825,158875.19431783448
08619,2016-12,277194.6850384095,273899.7149808036,,202229.7638161862,268372.57620582334,312629.7313173008,,,157207.95220546887,157534.2894188233,104932.43656897184,111897.76848542984,130864.33048193328,190778.6004368075,205856.61616340786,157769.04321185965
08619,2017-01,276208.6879931685,272896.8353330374,,200898.75378951232,267313.9533221907,311436.0331239422,,,156610.35296331852,156898.22386961643,103823.37857491839,111209.29606973997,130436.77788265602,190440.20356155458,206230.02561669966,156240.99872502836
08619,2017-02,275016.37035148975,271695.9089424833,,200022.07847829524,266490.0361314249,310667.584650008,,,156699.9113850366,156972.69411660053,102778.82736107163,111152.78484566302,130964.0629198126,191636.5745453775,208109.12525017755,155079.10578828407
08619,2017-03,273874.4317707001,270578.72322372056,,199613.2004965884,266005.907846383,309979.495453923,,,157173.91320847638,157458.0131595405,101839.28445817037,111703.51940010664,132020.54197174122,193402.21900588777,210102.19593068396,154250.75148957293
08619,2017-04,273401.93066311517,270134.96557873517,,199593.0259359336,266054.28472421784,309628.55786182417,,,156764.09062742803,157072.12761296364,100169.89304859255,111636.11849823302,132565.6848682692,194292.01501068482,210769.41544090465,152794.40960921525
08619,2017-05,274242.96941410867,270990.7753294065,,200096.71383004545,267158.675854579,310441.234100588,,,156476.23288878272,156802.97773445275,98792.80675211055,111741.949330453,133167.50736353092,195101.5368822852,211484.07263461416,151586.4151627639
08619,2018-07,274629.021102977,271502.62707516097,,200372.43023597446,270532.8624110469,313362.1100995264,,,172456.01139657683,172526.87523330105,109598.93115635225,126814.84207340349,153657.90317090144,223588.059151455,236374.59244726296,166639.12122857614
08619,2018-08,273655.6755813233,270542.9708131476,,199970.9794303503,269913.96142352413,312993.82587136206,,,174579.7169657143,174653.65713008813,112029.40051262372,129125.10484007606,156334.09100789973,227200.5606937207,239617.61165329695,170291.79490952508
08619,2018-09,272599.2048632616,269498.5055634753,,199682.98137253433,269231.14621939143,312524.9622858272,,,176375.8524316305,176469.08788900333,114486.34937752428,131021.87128404745,158537.08115360807,230453.47604286796,242483.8060738405,173926.31808924134
08619,2018-10,271261.3147037142,268162.76933433424,,199195.26168420594,268416.17560836364,311960.60789787996,,,177155.37078887486,177276.43298758977,116283.74379829028,132344.48295111366,160075.19923842457,232709.46233394396,243872.02469348515,176536.92734821688
08619,2018-11,271804.1265742456,268676.6210875578,,199490.65417855122,269177.28402346966,313066.7570195185,,,179144.12588798176,179273.81903193484,118777.68658103082,134281.44248257962,162165.21036892539,235751.32903914645,246303.3378877715,179281.26173965534
08619,2018-12,272504.3410257681,269345.2987369491,,199471.58407507074,269732.8988217152,313723.12004137255,,,181133.85065538075,181246.2424067183,121198.89617339039,136144.48366064424,164141.55809293746,238816.28612019448,248950.00642117602,181405.24613115875
08619,2019-01,274239.24096052453,271074.55815804267,,199847.83773689574,270504.92959391826,314603.1327339371,,,183717.87346420804,183800.45414644555,123333.01121744077,138347.0299803306,166407.97643091378,242091.33683006186,251611.85905155595,183760.04744443038
08619,2019-02,274901.29469297844,271770.76441494253,,199780.36989696545,269950.03334143886,313790.01262446376,,,185245.74351590336,185290.18562597982,123444.71518188986,139794.04892357043,167714.22267468768,243583.5085933879,252168.27823629646,184766.02381188478
