RegionName,datesubstr,ZHVI_sfr,ZHVI_all,ZHVI_1br,ZHVI_2br,ZHVI_3br,ZHVI_4br,ZHVI_5br,ZHVI_con,ZHVI_sfr_CL,ZHVI_all_CL,ZHVI_1br_CL,ZHVI_2br_CL,ZHVI_3br_CL,ZHVI_4br_CL,ZHVI_5br_CL,ZHVI_con_CL
80903,2021-06,378436.6447022021,379360.49554434157,307352.9791694698,338195.4987478297,409103.2715304276,485365.8701815148,,451093.8860022762,420775.51657830057,413999.64644135174,250701.32149012055,295967.4504790207,377575.55270764086,464000.2156154669,568485.9700263593,246141.3559800251
80903,2011-09,190469.09788848882,192696.6858930642,127206.52614854793,163902.40161415565,215680.9611312861,265372.9148003147,,276017.86004078056,244332.8960637702,238647.38908012531,104647.00171328391,149534.48964691698,211602.80404545148,285673.2174488607,379704.9508288976,126233.30014952953
80903,2011-10,190378.49304000387,192596.7918456328,127059.11686063473,163647.29814892597,215661.89917222428,265046.73079240293,,275015.18017168227,243978.5778504981,238317.04587131276,104729.49426927866,149201.37220160684,211312.94177436174,285201.18825946364,378933.6644680263,126017.65916921521
80903,2011-07,191536.92368195648,193818.2188131125,128616.2806730762,165130.55735404053,216730.71871190344,265536.29748411523,,285368.6279697888,246282.61363265166,240590.45647317474,106771.86937406573,151043.4758984451,213442.21944646921,287617.3162356137,382988.2284870711,127802.90350703314
80904,2003-05,273847.4826467261,270191.5386126271,148559.87161453007,208588.9871386503,282055.3537296284,378872.8236296528,497179.32444620394,211518.91460728136,293824.541903292,288063.83926419314,137906.11773568974,192310.5705481927,257708.06253419677,334002.8899596919,433090.37013238005,167074.8659401035
80904,2003-03,270709.6207869731,267148.13853798213,147360.19050116604,205922.90971559158,278599.21455555054,376190.43168168544,492555.11848486325,209724.73698484214,290547.44275471097,284871.1938276705,137078.46308984104,190071.5637904913,254952.70730604616,330185.7688372623,428323.8443850542,165440.72730512873
80904,2003-04,272583.3893667925,268964.98094554356,147673.20443637893,207437.49309054008,280569.50098383665,378044.33740418014,495610.30636766105,210788.1770761435,292483.02599556453,286759.78724616213,137642.5050946794,191405.17584043535,256585.14986173235,332421.12127561134,431153.7662745512,166451.1516338786
80904,2012-04,232720.6979802149,228215.73480533325,123934.58868921794,166070.3080871563,241632.3613267454,326846.0096234056,435962.2190107208,173820.72869293048,241713.9054549163,236070.93219507893,106154.92277658462,146716.71515236827,208967.93619465307,282532.9224072509,375013.1780377785,125252.45464600934
80904,2003-02,270355.4737957423,266834.63525536266,148046.41526794748,205715.09781471078,278346.2464647178,375803.5905458887,491945.2587519164,209800.7328485231,290160.47381449596,284502.94023288914,137051.57682286375,189808.47949769464,254713.07090253645,329721.05319235596,427677.2775572598,165273.46743810805
80904,2012-03,233563.58877704656,229059.54225350695,124223.25691392014,166607.5708509725,242570.21254110846,328610.87159315235,436793.34615735576,174526.34280332463,242373.35040956072,236752.34699210583,106237.4394431613,147294.82483974032,209703.7440404208,283229.41859216976,376021.8169716041,125721.3153040051
80904,2003-12,275861.40252952906,272095.54101812886,156365.8725504917,210947.08197021674,284214.6590299388,380551.6985935111,494888.410553613,213321.87933073164,294742.2854948816,288929.4616236842,138779.8751363681,192804.86989222732,258249.44672619516,334833.1751318722,434799.2039886381,166929.15428221997
80904,2012-05,233144.75270533146,228583.92129855466,124324.7966564639,166465.08181080094,241897.4377405149,327222.55504517176,437529.9087564326,174046.42823790424,242097.7703927302,236420.97551328526,106463.64358384402,146944.64868676025,209199.32169515715,283053.80255054205,375731.3231375581,125304.80246644425
80904,2002-12,272630.6388596217,269136.2511602108,151140.48798538637,207626.2942898346,280828.47657284385,376912.855052421,493022.58112802554,212019.59035868873,292303.1536215175,286606.9065808484,137914.28719955083,191168.82011379374,256739.85571892382,332125.2476453744,430573.47210988624,166470.39633798364
80904,2003-01,271428.88470559916,267961.66615332826,149660.96615917113,206585.85848196995,279587.6751068333,376377.86757532513,492278.400047288,211092.71171668527,291330.6464130865,285655.78947913565,137566.95413313713,190553.7192065731,255828.46748033658,331031.3317429386,429232.6276314159,165938.8878277481
80904,2002-02,272390.26435949374,268737.1016016236,152314.20316748036,207431.82414269703,280646.051672667,376117.1339719935,488752.7039432893,210992.01140836754,291064.5923615763,285344.96110278874,136045.6901830344,189052.10391835193,255326.72436042837,330816.115132258,429450.27088487474,165073.1960117572
80904,2004-01,275816.89152709243,271963.42262888217,156427.70109810214,210936.1342495362,284168.28657566744,381099.6707344508,493862.03532961156,212807.97128359813,294202.6048544105,288395.7564009111,138353.4649616389,192495.6461142895,257780.1625580857,334282.35458442295,434296.02247140725,166617.7260929196
80904,2004-02,276047.2067609198,272151.0442742448,156831.91594966085,211197.99712511073,284487.85111913516,381694.48403521924,494029.99058364343,212961.98006157036,294067.5918204827,288269.50600210193,138235.67807645386,192448.86586168446,257723.50166302055,334133.15785879927,434510.90666878526,166580.77656862332
80904,2003-06,274134.6551562329,270446.8991333329,149542.24027204065,209008.28214610135,282490.56415828486,378800.8561003641,497782.04145922547,211538.45683773496,294161.67357772985,288385.6235973394,137920.7625684103,192490.27078811012,257993.39035489294,334461.6831327673,433603.46357225394,167127.42625140687
80904,2012-06,234017.1417986562,229417.0557551752,125229.78228503054,167246.0181416896,242703.8812064428,328308.54743360536,439859.69923669676,174851.69307683277,242639.86508331378,236929.6158740022,107065.3707964233,147417.7037733617,209587.1689675117,283759.4978579383,376517.1310729765,125513.98529860428
80904,2002-03,271933.2428650672,268327.8646658174,152033.13559701337,206958.75683175353,280270.62187850225,375823.5382121136,488480.6306430235,210929.6290735487,290637.3925000901,284942.70930197905,136042.70868348246,188982.89937442885,255000.6772147106,330269.3642161213,428681.5725466205,164953.88929436554
80904,2002-04,270846.4594580876,267245.93699770217,151195.47407097678,205858.36204419998,279189.1539109118,374651.6184713925,486925.3578274783,210214.03168979703,289498.09134586796,283839.9327059402,135557.41016052882,188418.32294778628,254042.4077364792,328876.1895210295,426699.1937590326,164434.77855080852
80904,2003-10,274605.9082829099,271027.85197568097,154555.5509425806,209979.4864040483,283193.3866123587,377649.3925996682,494260.2447586268,213671.3016884465,294224.0143490855,288443.35748220194,138626.82800535226,192377.06382671598,257874.5064998102,334317.47816190775,433658.75844110333,166760.78107838836
80904,2002-01,272400.086438911,268720.78427122586,152564.25241973094,207287.97026662668,280550.23823520524,376442.16967391,488714.70491974644,210773.94303914596,291014.8395919492,285284.94474736234,135916.1332204436,188789.54261565677,255215.793227807,330911.3266587856,429503.09055280604,164987.12807741962
80904,2012-07,235141.11004035803,230431.45547142372,126543.41345918515,168310.13725155962,243590.99124470225,329281.78104950517,442219.59347727225,175615.34069185203,243495.8780555922,237766.14499778737,108194.4633420423,148261.13102910764,210326.03069760464,284607.67866441584,377397.4662041682,126100.70794362156
80904,2012-02,233877.78852285014,229411.7555728375,124000.92129193404,166778.73400542175,242915.61452543107,330145.1352707882,437348.1550334012,175010.91270325382,242401.1075208354,236798.3444252022,105910.31383996009,147450.87787422162,209879.82441270095,283239.7483914197,376149.32892074913,125619.24475289343
80904,2002-05,270820.1872155247,267221.1249161555,150891.59301218987,205577.51047606883,279284.99220544385,374578.5784757974,486990.40282652405,210361.19524203867,289616.15640796645,283961.4203715136,135636.21375249134,188658.96574055863,254156.6391787711,328988.7160404744,426492.17965845997,164671.35771287404
80904,2022-01,428934.20615657157,417415.78960769385,279471.2374855517,332613.2622680493,430117.85145583056,541178.5106215015,717599.5995423712,321179.55015465553,436907.2640158269,429882.5879563373,257070.78572480884,307654.3827266576,392411.2537249978,481871.1799241311,590206.0979539196,264358.8789250099
