ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80905,2025-02-28,393412.26767427824,384541.10217146325,402488.08640384563,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-03-31,393542.2113354572,381020.5308837102,406475.3984348172,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-04-30,393752.01633694425,377393.39502770064,410819.72395947535,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-05-31,393689.2538267526,373392.16533526435,415089.6643466005,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-06-30,393440.36166735267,369156.91170455655,419321.197249648,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-07-31,393120.82060476294,364838.4706016473,423595.6239431304,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-08-31,392884.0079723515,360608.4232360512,428048.3587577692,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-09-30,392852.8307601321,356597.46344287344,432794.2917658276,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-10-31,392568.7708110361,352404.1504861132,437311.080483885,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-11-30,391915.46991028177,347945.01611955976,441442.551090366,2480.318020867053,6235008.720790498,2496.9999440910083
80906,2024-12-31,577104.4850738024,574124.911649147,580099.5217846048,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-01-31,577346.596592749,570916.0666794039,583849.5569689587,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-02-28,577902.0936298785,567498.2725168298,588496.6457089833,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-03-31,578791.7178124485,564050.174882015,593918.5333616083,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-04-30,579942.1616030694,560605.0764482366,599946.2454669655,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-05-31,581153.2722282148,557044.7252817939,606305.2219921988,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-06-30,582149.6169388917,553165.1889244907,612652.7541637464,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-07-31,583215.2486806671,549284.5173272074,619241.9694419164,10531.008216624614,111693466.22911046,10568.512962054334
80906,2025-08-31,584283.0315205422,545373.1544276082,625968.9501606188,10531.008216624614,111693466.22911046,10568.512962054334
