ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80908,2025-08-31,724445.25,651807.1640625,818731.4703124999,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-09-30,730504.8,634257.3359375,824827.0546874998,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-10-31,734801.06,649802.65625,840585.103125,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-11-30,739665.6,604697.4875,850206.59375,18097.46728363509,445610290.56715375,21109.483427292904
80909,2024-12-31,364786.4,330109.115625,405637.86640625,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-01-31,364157.84,322986.83671875,398434.07109374995,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-02-28,360364.97,325206.59375,406044.83515625,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-03-31,360442.88,322929.15390625,406166.25703124993,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-04-30,361080.16,317025.6125,399343.6765624999,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-05-31,358747.75,324529.64453125,403920.1546875,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-06-30,358345.0,321960.234375,396129.925,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-07-31,354047.8,314603.21875,392748.9125,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-08-31,357846.2,319048.29921875,398062.2296875,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-09-30,351538.28,313776.134375,401820.4296875,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-10-31,352930.56,300937.93203125,405645.72656249994,18757.01057862166,377606368.6621866,19432.0963527404
80909,2025-11-30,350413.38,315393.3609375,392863.89921875,18757.01057862166,377606368.6621866,19432.0963527404
80910,2024-12-31,334138.84,285986.29765625,369179.53281249997,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-01-31,336110.7,293687.64375,380272.94453124993,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-02-28,336441.75,290801.10390625,383592.91093749995,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-03-31,335209.62,290440.92734375,377907.303125,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-04-30,332938.0,278769.609375,376612.95,1628.875687391992,4119718.3512193263,2029.70893263525
80910,2025-05-31,336522.88,288591.3015625,382557.70625,1628.875687391992,4119718.3512193263,2029.70893263525
